No,Kode,Nama perusahaan,Tanggal pencatatan,Jumlah Saham,Papan pencatatan,Sektor
177,BEI: BTON,Betonjaya Manunggal Tbk.,18 Juli 2001,720.000.000,Pengembangan,Basic Materials
178,BEI: BTPN,Bank SMBC Indonesia Tbk.,12 Maret 2008,10.536.203.690,Utama,Financials
179,BEI: BTPS,Bank BTPN Syariah Tbk.,8 Mei 2018,7.626.663.000,Utama,Financials
180,BEI: BUAH,Segar Kumala Indonesia Tbk.,9 Agustus 2022,1.000.000.000,Pengembangan,Consumer Non-Cyclicals
181,BEI: BUDI,Budi Starch & Sweetener Tbk.,8 Mei 1995,4.498.997.362,Utama,Consumer Non-Cyclicals
182,BEI: BUKA,Bukalapak.com Tbk.,6 Agustus 2021,103.121.636.167,Ekonomi Baru,Technology
183,BEI: BUKK,Bukaka Teknik Utama Tbk.,29 Juni 2015,2.640.452.000,Pengembangan,Infrastructure
184,BEI: BULL,Buana Lintas Lautan Tbk.,23 Mei 2011,14.117.801.449,Pengembangan,Energy
185,BEI: BUMI,Bumi Resources Tbk.,30 Juli 1990,371.322.136.553,Utama,Energy
186,BEI: BUVA,Bukit Uluwatu Villa Tbk.,12 Juli 2010,20.590.473.213,Pengembangan,Consumer Cyclicals
187,BEI: BVIC,Bank Victoria International Tb,30 Juni 1999,15.690.050.343,Utama,Financials
188,BEI: BWPT,Eagle High Plantations Tbk.,27 Oktober 2009,31.525.291.000,Utama,Consumer Non-Cyclicals
189,BEI: BYAN,Bayan Resources Tbk.,12 Agustus 2008,33.333.335.000,Utama,Energy
190,BEI: CAKK,Cahayaputra Asa Keramik Tbk.,31 Oktober 2018,1.203.300.219,Pengembangan,Industrials
191,BEI: CAMP,Campina Ice Cream Industry Tbk,19 Desember 2017,5.885.000.000,Pengembangan,Consumer Non-Cyclicals
192,BEI: CANI,Capitol Nusantara Indonesia Tb,16 Januari 2014,833.440.000,Pemantauan Khusus,Energy
193,BEI: CARE,Metro Healthcare Indonesia Tbk,13 Maret 2020,33.250.000.000,Pengembangan,Healthcare
194,BEI: CARS,Industri dan Perdagangan Bintr,10 April 2017,15.000.000.000,Utama,Consumer Cyclicals
195,BEI: CASA,Capital Financial Indonesia Tb,19 Juli 2016,54.476.269.803,Pengembangan,Financials
196,BEI: CASH,Cashlez Worldwide Indonesia Tb,4 Mei 2020,1.431.125.517,Akselerasi,Technology
197,BEI: CASS,Cardig Aero Services Tbk.,5 Desember 2011,2.086.950.000,Utama,Infrastructure
198,BEI: CBMF,Cahaya Bintang Medan Tbk.,9 April 2020,1.875.000.000,Pemantauan Khusus,Consumer Cyclicals
199,BEI: CBPE,Citra Buana Prasida Tbk.,6 Januari 2023,1.356.250.000,Pengembangan,Properties & Real Estate
